07-28 | В | 🕷 Marvel's Spider-Man 2 — завезли бесплатный костюм по новому фильму | байт: 🔥 — накину костюм, полечу
07-29 | дайджест(скидки) | 🧟 Capcom кинул под нож хорроры и охоту на монстров — а до кучи культовые глубокие скидки | байт: 🔥 — за 8 баксов и в ад не жалко
07-29 | завоз | 🚛 Heavy Cargo — The Truck Simulator — завезли в каталог SteamGate | байт: 🔥 — врубаю дизель, повёз
07-30 | дайджест(скидки) | 🎮 Steam ополовинил ценники: от Cyberpunk и Ведьмака до целого шкафа LEGO | байт: 🔥 — сгребаю пачкой, кошелёк переживёт
07-30 | Б(трёп) | 🪖 Helldivers 2 скрещивают с Warhammer 40 000 | байт: 🔥 — за Императора, заряжаю болтер
2026-08-06 | дайджест(халява) | 🎁 Moonlighter отдают навсегда в Steam | байт: 🔥 — открываю лавку
2026-08-07 | завоз | 🆕 Завоз в каталог SteamGate — 9 игр | байт: 🔥 — собираю команду на Marvel
2026-08-07 | дайджест(скидки) | 👻 Ghost Recon отмечает 25 лет — Steam режет цены | байт: 🔥 — забираю пачкой
2026-08-07 | А | 🪚 Бета Gears of War: E-Day уже открыла двери | байт: 🔥 — собираю отряд, точу пилу
2026-08-07 | завоз | 🆕 ReStory: Chill Electronics Repairs теперь в SteamGate | байт: 🔥 — несу приставку на ремонт
2026-08-07 | завоз | 🆕 В SteamGate добавили ещё 15 игр | байт: 🔥 — уже выбираю, с чего начать
2026-08-07 | дайджест(халява) | 🎁 Breathedge отдают навсегда в Steam | байт: 🔥 — проверю, выживет ли курица
2026-08-08 | дайджест(скидки) | 🏎 Need for Speed упала до −95%, а за ней посыпались хиты | байт: 🔥 — забираю Heat, пока не передумали
2026-08-08 | Б | ☢️ S.T.A.L.K.E.R. 2 показал Зону без монтажа | байт: 🔥 — уже собираю рюкзак в Зону
2026-08-08 | А | 🌀 Quake получила 19 новых уровней спустя 30 лет | байт: 🔥 — заряжаю топор, ныряю в портал
